ProductID,ProductName,Color,ListPrice
317,LL Crankarm,Black,0
318,ML Crankarm,Black,0
319,HL Crankarm,Black,0
322,Chainring,Black,0
680,HL Road Frame - Black, 58,Black,1431.5
706,HL Road Frame - Red, 58,Red,1431.5
707,Sport-100 Helmet, Red,Red,34.99
708,Sport-100 Helmet, Black,Black,34.99
717,HL Road Frame - Red, 62,Red,1431.5
718,HL Road Frame - Red, 44,Red,1431.5
719,HL Road Frame - Red, 48,Red,1431.5
720,HL Road Frame - Red, 52,Red,1431.5
721,HL Road Frame - Red, 56,Red,1431.5
722,LL Road Frame - Black, 58,Black,337.22
723,LL Road Frame - Black, 60,Black,337.22
724,LL Road Frame - Black, 62,Black,337.22
725,LL Road Frame - Red, 44,Red,337.22
726,LL Road Frame - Red, 48,Red,337.22
727,LL Road Frame - Red, 52,Red,337.22
728,LL Road Frame - Red, 58,Red,337.22
729,LL Road Frame - Red, 60,Red,337.22
730,LL Road Frame - Red, 62,Red,337.22
731,ML Road Frame - Red, 44,Red,594.83
732,ML Road Frame - Red, 48,Red,594.83
733,ML Road Frame - Red, 52,Red,594.83
734,ML Road Frame - Red, 58,Red,594.83
735,ML Road Frame - Red, 60,Red,594.83
736,LL Road Frame - Black, 44,Black,337.22
737,LL Road Frame - Black, 48,Black,337.22
738,LL Road Frame - Black, 52,Black,337.22
743,HL Mountain Frame - Black, 42,Black,1349.6
744,HL Mountain Frame - Black, 44,Black,1349.6
745,HL Mountain Frame - Black, 48,Black,1349.6
746,HL Mountain Frame - Black, 46,Black,1349.6
747,HL Mountain Frame - Black, 38,Black,1349.6
749,Road-150 Red, 62,Red,3578.27
750,Road-150 Red, 44,Red,3578.27
751,Road-150 Red, 48,Red,3578.27
752,Road-150 Red, 52,Red,3578.27
753,Road-150 Red, 56,Red,3578.27
754,Road-450 Red, 58,Red,1457.99
755,Road-450 Red, 60,Red,1457.99
756,Road-450 Red, 44,Red,1457.99
757,Road-450 Red, 48,Red,1457.99
758,Road-450 Red, 52,Red,1457.99
759,Road-650 Red, 58,Red,782.99
760,Road-650 Red, 60,Red,782.99
761,Road-650 Red, 62,Red,782.99
762,Road-650 Red, 44,Red,782.99
763,Road-650 Red, 48,Red,782.99
764,Road-650 Red, 52,Red,782.99
765,Road-650 Black, 58,Black,782.99
766,Road-650 Black, 60,Black,782.99
767,Road-650 Black, 62,Black,782.99
768,Road-650 Black, 44,Black,782.99
769,Road-650 Black, 48,Black,782.99
770,Road-650 Black, 52,Black,782.99
775,Mountain-100 Black, 38,Black,3374.99
776,Mountain-100 Black, 42,Black,3374.99
777,Mountain-100 Black, 44,Black,3374.99
778,Mountain-100 Black, 48,Black,3374.99
