Term,Score
HL,26
ML,22
AWC,16
Roue,12
Le,8
route,7
HL Frame,7
id,6
performance,6
Fabrication,5
AAA,5
version,5
Barre,5
bike,5
Mountain-100,5
comfort,5
tube,4
trait,4
Ce v,4
Adventure Works Cycles,4
Replacement mountain wheel,4
course,4
Men,4
ger,4
road,4
budget,4
frame,4
aluminium,4
boss,3
facile,3
es,3
con,3
acc,3
tiste occasionnel,3
version hommes,3
glable,3
Un v,3
lo,3
cycliste occasionnel,3
aluminum alloy,3
serious rider,3
day,3
pocket,3
pr,3
light,3
tique,3
vu,3
off-road,3
Utilise,3
terrain,3
entry-level rider,3
quality,3
entry-level cyclist,3
type,3
Bothell,3
sac,2
sistants,2
acier,2
tanche,2
enti,2
litre,2
logo,2
caoutchouc haute densit,2
Kevlar,2
Cuir,2
tension,2
randonn,2
Forme tr,2
offrir une,2
un tube l,2
du m,2
version femmes,2
performances exceptionnelles,2
afin,2
curit,2
un syst,2
ficie,2
rodynamiques,2
conception liaison,2
blocage rapide,2
accident,2
humidit,2
tiques,2
VTT,2
grand diam,2
prix,2
steel construction,2
bourse,2
strength,2
expensive wire bead casing,2
Women,2
superior performance,2
tre,2
heat-treated aluminum frame,2
ussie destin,2
arm,2
course sur route,2
tre est pr,2
optimal strength,2
clipless pedal,2
chaud fabriqu,2
High-performance mountain replacement wheel,2
high-density rubber,2
direction,2
ML frame,2
style,2
Threadless headset,2
Light-weight,2
Wide-link design,2
aerodynamic bike,2
sistance optimale,2
lightweight down-tube,2
lightweight carbon,2
Cross-train,2
racing,2
perfect diameter,2
bump,2
carbone l,2
perfect all-around bike,2
detail,2
woman,2
Road series bike,2
shock,2
unique shape,2
town,2
rim,2
maximum comfort,2
leg grippers,2
cise,2
technology,2
fit,2
race,2
tition,2
quipe AWC,2
advanced seat technology,2
quip,2
adjustable tension,2
ger renforc,2
double-walled rim,2
Aluminum alloy cup,2
Quick-release hub,2
weekend trip,2
sistance,2
Replacement rear mountain wheel,2
comfortable ride,2
top-of-the line HL frame,2
